"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Squat (Barbell)",,"Neck hurt top set from buns placement but reps felt alot easier",0,"warmup",20,4,,,
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Squat (Barbell)",,"Neck hurt top set from buns placement but reps felt alot easier",1,"warmup",60,4,,,
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Squat (Barbell)",,"Neck hurt top set from buns placement but reps felt alot easier",2,"warmup",80,3,,,
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Squat (Barbell)",,"Neck hurt top set from buns placement but reps felt alot easier",3,"failure",110,2,,,8.5
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Squat (Barbell)",,"Neck hurt top set from buns placement but reps felt alot easier",4,"failure",90,5,,,9
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Romanian Deadlift (Barbell)",,"Good",0,"warmup",60,6,,,
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Romanian Deadlift (Barbell)",,"Good",1,"warmup",100,4,,,
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Romanian Deadlift (Barbell)",,"Good",2,"failure",150,3,,,9
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Romanian Deadlift (Barbell)",,"Good",3,"failure",130,6,,,10
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Standing Calf Raise (Smith)",,"",0,"warmup",40,6,,,
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Standing Calf Raise (Smith)",,"",1,"failure",120,10,,,9.5
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Standing Calf Raise (Smith)",,"",2,"failure",120,8,,,9
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Leg Extension (Machine)",,"Single leg",0,"failure",40,8,,,
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Leg Extension (Machine)",,"Single leg",1,"failure",35,8,,,
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Cable Crunch",,"Diff form testing",0,"normal",30,6,,,
"Lower","May 7, 2026, 6:13 AM","May 7, 2026, 7:46 AM","","Cable Crunch",,"Diff form testing",1,"normal",35,6,,,
"Pull","May 6, 2026, 7:26 PM","May 6, 2026, 8:32 PM","","Lat Pulldown (Cable)",,"First exc means up alot - idk if stronger or just less tired",0,"warmup",50,6,,,
"Pull","May 6, 2026, 7:26 PM","May 6, 2026, 8:32 PM","","Lat Pulldown (Cable)",,"First exc means up alot - idk if stronger or just less tired",1,"failure",95,6,,,9
"Pull","May 6, 2026, 7:26 PM","May 6, 2026, 8:32 PM","","Lat Pulldown (Cable)",,"First exc means up alot - idk if stronger or just less tired",2,"failure",95,5,,,10
"Pull","May 6, 2026, 7:26 PM","May 6, 2026, 8:32 PM","","Chest Supported T-bar Row",,"Buns 2nd exc - still matched so whatever - if first wouldve probs gone up",0,"warmup",25,6,,,
"Pull","May 6, 2026, 7:26 PM","May 6, 2026, 8:32 PM","","Chest Supported T-bar Row",,"Buns 2nd exc - still matched so whatever - if first wouldve probs gone up",1,"warmup",50,4,,,
"Pull","May 6, 2026, 7:26 PM","May 6, 2026, 8:32 PM","","Chest Supported T-bar Row",,"Buns 2nd exc - still matched so whatever - if first wouldve probs gone up",2,"failure",77.5,4,,,9.5
"Pull","May 6, 2026, 7:26 PM","May 6, 2026, 8:32 PM","","Chest Supported T-bar Row",,"Buns 2nd exc - still matched so whatever - if first wouldve probs gone up",3,"failure",75,5,,,10
"Pull","May 6, 2026, 7:26 PM","May 6, 2026, 8:32 PM","","Preacher Curl (Barbell)",,"Very good - up on borh and better ROM",0,"warmup",28,6,,,
"Pull","May 6, 2026, 7:26 PM","May 6, 2026, 8:32 PM","","Preacher Curl (Barbell)",,"Very good - up on borh and better ROM",1,"failure",40,5,,,10
"Pull","May 6, 2026, 7:26 PM","May 6, 2026, 8:32 PM","","Preacher Curl (Barbell)",,"Very good - up on borh and better ROM",2,"failure",38,5,,,10
"Pull","May 6, 2026, 7:26 PM","May 6, 2026, 8:32 PM","","Lat Pulldown - Close Grip (Cable)",,"",0,"failure",105,4,,,10
"Pull","May 6, 2026, 7:26 PM","May 6, 2026, 8:32 PM","","Lat Pulldown - Close Grip (Cable)",,"",1,"failure",95,5,,,10
"Pull","May 6, 2026, 7:26 PM","May 6, 2026, 8:32 PM","","Hammer Curl (Dumbbell)",,"Brutal up",0,"failure",28,8,,,10
"Pull","May 6, 2026, 7:26 PM","May 6, 2026, 8:32 PM","","Hammer Curl (Dumbbell)",,"Brutal up",1,"failure",28,6,,,9.5
"Push","May 5, 2026, 6:12 AM","May 5, 2026, 7:54 AM","","Incline Bench Press (Dumbbell)",,"4 set foid taken incline machine",0,"warmup",20,6,,,
"Push","May 5, 2026, 6:12 AM","May 5, 2026, 7:54 AM","","Incline Bench Press (Dumbbell)",,"4 set foid taken incline machine",1,"warmup",30,4,,,
"Push","May 5, 2026, 6:12 AM","May 5, 2026, 7:54 AM","","Incline Bench Press (Dumbbell)",,"4 set foid taken incline machine",2,"failure",40,5,,,9.5
"Push","May 5, 2026, 6:12 AM","May 5, 2026, 7:54 AM","","Incline Bench Press (Dumbbell)",,"4 set foid taken incline machine",3,"failure",38,5,,,10
"Push","May 5, 2026, 6:12 AM","May 5, 2026, 7:54 AM","","JM Press (Barbell)",,"",0,"warmup",40,6,,,
"Push","May 5, 2026, 6:12 AM","May 5, 2026, 7:54 AM","","JM Press (Barbell)",,"",1,"failure",75,5,,,9.5
"Push","May 5, 2026, 6:12 AM","May 5, 2026, 7:54 AM","","JM Press (Barbell)",,"",2,"failure",70,5,,,9
"Push","May 5, 2026, 6:12 AM","May 5, 2026, 7:54 AM","","Shoulder Press (Machine Plates)",,"",0,"warmup",40,6,,,
"Push","May 5, 2026, 6:12 AM","May 5, 2026, 7:54 AM","","Shoulder Press (Machine Plates)",,"",1,"warmup",80,4,,,
"Push","May 5, 2026, 6:12 AM","May 5, 2026, 7:54 AM","","Shoulder Press (Machine Plates)",,"",2,"failure",120,4,,,9.5
"Push","May 5, 2026, 6:12 AM","May 5, 2026, 7:54 AM","","Shoulder Press (Machine Plates)",,"",3,"failure",110,6,,,10
"Push","May 5, 2026, 6:12 AM","May 5, 2026, 7:54 AM","","Bench Press (Barbell)",,"Rough 4",0,"warmup",20,6,,,
"Push","May 5, 2026, 6:12 AM","May 5, 2026, 7:54 AM","","Bench Press (Barbell)",,"Rough 4",1,"warmup",60,4,,,
"Push","May 5, 2026, 6:12 AM","May 5, 2026, 7:54 AM","","Bench Press (Barbell)",,"Rough 4",2,"failure",92.5,4,,,10
"Push","May 5, 2026, 6:12 AM","May 5, 2026, 7:54 AM","","Bench Press (Barbell)",,"Rough 4",3,"failure",85,5,,,10
"Push","May 5, 2026, 6:12 AM","May 5, 2026, 7:54 AM","","Single Arm Triceps Pushdown (Cable)",,"",0,"failure",20,6,,,10
"Push","May 5, 2026, 6:12 AM","May 5, 2026, 7:54 AM","","Single Arm Triceps Pushdown (Cable)",,"",1,"failure",17.5,8,,,9
"Push","May 5, 2026, 6:12 AM","May 5, 2026, 7:54 AM","","Lateral Raise (Cable)",,"",0,"failure",12.5,4,,,10
"Push","May 5, 2026, 6:12 AM","May 5, 2026, 7:54 AM","","Lateral Raise (Cable)",,"",1,"failure",10,8,,,9
"Lower","May 3, 2026, 1:53 PM","May 3, 2026, 3:36 PM","","Squat (Barbell)",,"Yummy - issue this entire time is probs bracing",0,"warmup",20,4,,,
"Lower","May 3, 2026, 1:53 PM","May 3, 2026, 3:36 PM","","Squat (Barbell)",,"Yummy - issue this entire time is probs bracing",1,"warmup",60,4,,,
"Lower","May 3, 2026, 1:53 PM","May 3, 2026, 3:36 PM","","Squat (Barbell)",,"Yummy - issue this entire time is probs bracing",2,"warmup",80,4,,,
"Lower","May 3, 2026, 1:53 PM","May 3, 2026, 3:36 PM","","Squat (Barbell)",,"Yummy - issue this entire time is probs bracing",3,"failure",110,3,,,9.5
"Lower","May 3, 2026, 1:53 PM","May 3, 2026, 3:36 PM","","Squat (Barbell)",,"Yummy - issue this entire time is probs bracing",4,"failure",90,5,,,9.5
"Lower","May 3, 2026, 1:53 PM","May 3, 2026, 3:36 PM","","Romanian Deadlift (Barbell)",,"Starting off of floor is solid choice tbh",0,"warmup",60,6,,,
"Lower","May 3, 2026, 1:53 PM","May 3, 2026, 3:36 PM","","Romanian Deadlift (Barbell)",,"Starting off of floor is solid choice tbh",1,"warmup",100,4,,,
"Lower","May 3, 2026, 1:53 PM","May 3, 2026, 3:36 PM","","Romanian Deadlift (Barbell)",,"Starting off of floor is solid choice tbh",2,"failure",150,3,,,9
"Lower","May 3, 2026, 1:53 PM","May 3, 2026, 3:36 PM","","Romanian Deadlift (Barbell)",,"Starting off of floor is solid choice tbh",3,"failure",130,5,,,9.5
"Lower","May 3, 2026, 1:53 PM","May 3, 2026, 3:36 PM","","Standing Calf Raise (Smith)",,"",0,"warmup",40,6,,,
"Lower","May 3, 2026, 1:53 PM","May 3, 2026, 3:36 PM","","Standing Calf Raise (Smith)",,"",1,"failure",120,8,,,9
"Lower","May 3, 2026, 1:53 PM","May 3, 2026, 3:36 PM","","Standing Calf Raise (Smith)",,"",2,"failure",110,10,,,
"Lower","May 3, 2026, 1:53 PM","May 3, 2026, 3:36 PM","","Leg Extension (Machine)",,"Single leg all but first",0,"normal",62.5,8,,,
"Lower","May 3, 2026, 1:53 PM","May 3, 2026, 3:36 PM","","Leg Extension (Machine)",,"Single leg all but first",1,"normal",30,8,,,
"Lower","May 3, 2026, 1:53 PM","May 3, 2026, 3:36 PM","","Leg Extension (Machine)",,"Single leg all but first",2,"failure",40,6,,,
"Lower","May 3, 2026, 1:53 PM","May 3, 2026, 3:36 PM","","Decline Sit Ups",,"Funny feeling in back",0,"failure",15,4,,,
"Lower","May 3, 2026, 1:53 PM","May 3, 2026, 3:36 PM","","Decline Sit Ups",,"Funny feeling in back",1,"failure",10,6,,,
"Lower","May 3, 2026, 1:53 PM","May 3, 2026, 3:36 PM","","Cable Twist (Down to up)",,"Testing",0,"normal",10,6,,,
"Lower","May 3, 2026, 1:53 PM","May 3, 2026, 3:36 PM","","Cable Twist (Down to up)",,"Testing",1,"normal",12.5,6,,,
"Pull","May 2, 2026, 10:35 AM","May 2, 2026, 11:46 AM","","Chest Supported T-bar Row",,"Like 4.5 reps top set",0,"warmup",25,6,,,
"Pull","May 2, 2026, 10:35 AM","May 2, 2026, 11:46 AM","","Chest Supported T-bar Row",,"Like 4.5 reps top set",1,"warmup",50,4,,,
"Pull","May 2, 2026, 10:35 AM","May 2, 2026, 11:46 AM","","Chest Supported T-bar Row",,"Like 4.5 reps top set",2,"failure",77.5,4,,,9.5
"Pull","May 2, 2026, 10:35 AM","May 2, 2026, 11:46 AM","","Chest Supported T-bar Row",,"Like 4.5 reps top set",3,"failure",75,5,,,10
"Pull","May 2, 2026, 10:35 AM","May 2, 2026, 11:46 AM","","Lat Pulldown (Cable)",,"Just wider than shoulder width grip - gotta do 2x95kg next time",0,"warmup",50,6,,,
"Pull","May 2, 2026, 10:35 AM","May 2, 2026, 11:46 AM","","Lat Pulldown (Cable)",,"Just wider than shoulder width grip - gotta do 2x95kg next time",1,"failure",95,5,,,9
"Pull","May 2, 2026, 10:35 AM","May 2, 2026, 11:46 AM","","Lat Pulldown (Cable)",,"Just wider than shoulder width grip - gotta do 2x95kg next time",2,"failure",90,6,,,8.5
"Pull","May 2, 2026, 10:35 AM","May 2, 2026, 11:46 AM","","Preacher Curl (Barbell)",,"Biceps just feel cooked - only 1 down top so not bad ig",0,"warmup",28,6,,,
"Pull","May 2, 2026, 10:35 AM","May 2, 2026, 11:46 AM","","Preacher Curl (Barbell)",,"Biceps just feel cooked - only 1 down top so not bad ig",1,"failure",40,4,,,10
"Pull","May 2, 2026, 10:35 AM","May 2, 2026, 11:46 AM","","Preacher Curl (Barbell)",,"Biceps just feel cooked - only 1 down top so not bad ig",2,"failure",36,6,,,10
"Pull","May 2, 2026, 10:35 AM","May 2, 2026, 11:46 AM","","Lat Pulldown - Close Grip (Cable)",,"Maybe egolift up",0,"failure",100,5,,,9.5
"Pull","May 2, 2026, 10:35 AM","May 2, 2026, 11:46 AM","","Lat Pulldown - Close Grip (Cable)",,"Maybe egolift up",1,"failure",95,5,,,9.5
"Pull","May 2, 2026, 10:35 AM","May 2, 2026, 11:46 AM","","Hammer Curl (Preacher)",,"",0,"failure",18,4,,,9
"Pull","May 2, 2026, 10:35 AM","May 2, 2026, 11:46 AM","","Hammer Curl (Preacher)",,"",1,"failure",16,6,,,
"Push","May 1, 2026, 7:08 AM","May 1, 2026, 8:16 AM","","Incline Chest Press (Machine)",,"",0,"warmup",40,6,,,
"Push","May 1, 2026, 7:08 AM","May 1, 2026, 8:16 AM","","Incline Chest Press (Machine)",,"",1,"warmup",80,4,,,
"Push","May 1, 2026, 7:08 AM","May 1, 2026, 8:16 AM","","Incline Chest Press (Machine)",,"",2,"failure",100,4,,,10
"Push","May 1, 2026, 7:08 AM","May 1, 2026, 8:16 AM","","Incline Chest Press (Machine)",,"",3,"failure",95,6,,,9.5
"Push","May 1, 2026, 7:08 AM","May 1, 2026, 8:16 AM","","JM Press (Barbell)",,"Good form",0,"warmup",40,6,,,
"Push","May 1, 2026, 7:08 AM","May 1, 2026, 8:16 AM","","JM Press (Barbell)",,"Good form",1,"failure",75,4,,,9.5
"Push","May 1, 2026, 7:08 AM","May 1, 2026, 8:16 AM","","JM Press (Barbell)",,"Good form",2,"failure",70,5,,,9
"Push","May 1, 2026, 7:08 AM","May 1, 2026, 8:16 AM","","Shoulder Press (Machine Plates)",,"Back to 4 - could be a little bit too heavy idk",0,"warmup",40,6,,,
"Push","May 1, 2026, 7:08 AM","May 1, 2026, 8:16 AM","","Shoulder Press (Machine Plates)",,"Back to 4 - could be a little bit too heavy idk",1,"warmup",80,4,,,
"Push","May 1, 2026, 7:08 AM","May 1, 2026, 8:16 AM","","Shoulder Press (Machine Plates)",,"Back to 4 - could be a little bit too heavy idk",2,"failure",120,4,,,10
"Push","May 1, 2026, 7:08 AM","May 1, 2026, 8:16 AM","","Shoulder Press (Machine Plates)",,"Back to 4 - could be a little bit too heavy idk",3,"failure",110,6,,,10
"Push","May 1, 2026, 7:08 AM","May 1, 2026, 8:16 AM","","Bench Press (Barbell)",,"4th rep went up solid - prog made",0,"warmup",20,6,,,
"Push","May 1, 2026, 7:08 AM","May 1, 2026, 8:16 AM","","Bench Press (Barbell)",,"4th rep went up solid - prog made",1,"warmup",60,4,,,
"Push","May 1, 2026, 7:08 AM","May 1, 2026, 8:16 AM","","Bench Press (Barbell)",,"4th rep went up solid - prog made",2,"failure",92.5,4,,,10
"Push","May 1, 2026, 7:08 AM","May 1, 2026, 8:16 AM","","Bench Press (Barbell)",,"4th rep went up solid - prog made",3,"failure",85,5,,,10
"Push","May 1, 2026, 7:08 AM","May 1, 2026, 8:16 AM","","Single Arm Triceps Pushdown (Cable)",,"",0,"failure",20,5,,,10
"Push","May 1, 2026, 7:08 AM","May 1, 2026, 8:16 AM","","Single Arm Triceps Pushdown (Cable)",,"",1,"failure",17.5,8,,,9
"Push","May 1, 2026, 7:08 AM","May 1, 2026, 8:16 AM","","Lateral Raise (Cable)",,"Need to up weight by v small increment",0,"failure",10,10,,,10
"Push","May 1, 2026, 7:08 AM","May 1, 2026, 8:16 AM","","Lateral Raise (Cable)",,"Need to up weight by v small increment",1,"failure",10,6,,,9
"Lower","Apr 29, 2026, 6:14 AM","Apr 29, 2026, 7:27 AM","","Squat (Barbell)",,"",0,"warmup",20,4,,,
"Lower","Apr 29, 2026, 6:14 AM","Apr 29, 2026, 7:27 AM","","Squat (Barbell)",,"",1,"warmup",60,4,,,
"Lower","Apr 29, 2026, 6:14 AM","Apr 29, 2026, 7:27 AM","","Squat (Barbell)",,"",2,"warmup",80,4,,,
"Lower","Apr 29, 2026, 6:14 AM","Apr 29, 2026, 7:27 AM","","Squat (Barbell)",,"",3,"failure",100,4,,,
"Lower","Apr 29, 2026, 6:14 AM","Apr 29, 2026, 7:27 AM","","Squat (Barbell)",,"",4,"failure",90,5,,,
"Lower","Apr 29, 2026, 6:14 AM","Apr 29, 2026, 7:27 AM","","Romanian Deadlift (Barbell)",,"145 next time",0,"warmup",60,6,,,
"Lower","Apr 29, 2026, 6:14 AM","Apr 29, 2026, 7:27 AM","","Romanian Deadlift (Barbell)",,"145 next time",1,"warmup",100,4,,,
"Lower","Apr 29, 2026, 6:14 AM","Apr 29, 2026, 7:27 AM","","Romanian Deadlift (Barbell)",,"145 next time",2,"failure",140,6,,,9.5
"Lower","Apr 29, 2026, 6:14 AM","Apr 29, 2026, 7:27 AM","","Romanian Deadlift (Barbell)",,"145 next time",3,"failure",130,5,,,9.5
"Lower","Apr 29, 2026, 6:14 AM","Apr 29, 2026, 7:27 AM","","Standing Calf Raise (Smith)",,"",0,"warmup",40,6,,,
"Lower","Apr 29, 2026, 6:14 AM","Apr 29, 2026, 7:27 AM","","Standing Calf Raise (Smith)",,"",1,"failure",115,9,,,
"Lower","Apr 29, 2026, 6:14 AM","Apr 29, 2026, 7:27 AM","","Standing Calf Raise (Smith)",,"",2,"failure",110,10,,,
"Lower","Apr 29, 2026, 6:14 AM","Apr 29, 2026, 7:27 AM","","Leg Extension (Machine)",,"",0,"normal",62.5,8,,,
"Lower","Apr 29, 2026, 6:14 AM","Apr 29, 2026, 7:27 AM","","Leg Extension (Machine)",,"",1,"normal",62.5,8,,,
"Lower","Apr 29, 2026, 6:14 AM","Apr 29, 2026, 7:27 AM","","Decline Sit Ups",,"",0,"failure",15,5,,,
"Lower","Apr 29, 2026, 6:14 AM","Apr 29, 2026, 7:27 AM","","Decline Sit Ups",,"",1,"failure",10,6,,,
"Pull","Apr 28, 2026, 5:02 PM","Apr 28, 2026, 5:53 PM","","Chest Supported T-bar Row",,"Better form top set",0,"warmup",25,6,,,
"Pull","Apr 28, 2026, 5:02 PM","Apr 28, 2026, 5:53 PM","","Chest Supported T-bar Row",,"Better form top set",1,"warmup",50,4,,,
"Pull","Apr 28, 2026, 5:02 PM","Apr 28, 2026, 5:53 PM","","Chest Supported T-bar Row",,"Better form top set",2,"failure",77.5,4,,,9.5
"Pull","Apr 28, 2026, 5:02 PM","Apr 28, 2026, 5:53 PM","","Chest Supported T-bar Row",,"Better form top set",3,"failure",75,5,,,9.5
"Pull","Apr 28, 2026, 5:02 PM","Apr 28, 2026, 5:53 PM","","Lat Pulldown - Close Grip (Cable)",,"0 wide grip free - fucking sucks",0,"failure",100,6,,,
"Pull","Apr 28, 2026, 5:02 PM","Apr 28, 2026, 5:53 PM","","Lat Pulldown - Close Grip (Cable)",,"0 wide grip free - fucking sucks",1,"failure",95,5,,,
"Pull","Apr 28, 2026, 5:02 PM","Apr 28, 2026, 5:53 PM","","Preacher Curl (Barbell)",,"",0,"warmup",18,6,,,
"Pull","Apr 28, 2026, 5:02 PM","Apr 28, 2026, 5:53 PM","","Preacher Curl (Barbell)",,"",1,"failure",40,5,,,10
"Pull","Apr 28, 2026, 5:02 PM","Apr 28, 2026, 5:53 PM","","Preacher Curl (Barbell)",,"",2,"failure",36,6,,,10
"Pull","Apr 28, 2026, 5:02 PM","Apr 28, 2026, 5:53 PM","","Lat Pulldown (Cable)",,"Grip a bit wider than shoulder width - later in session cooks me tbh",0,"warmup",50,6,,,
"Pull","Apr 28, 2026, 5:02 PM","Apr 28, 2026, 5:53 PM","","Lat Pulldown (Cable)",,"Grip a bit wider than shoulder width - later in session cooks me tbh",1,"failure",95,5,,,9.5
"Pull","Apr 28, 2026, 5:02 PM","Apr 28, 2026, 5:53 PM","","Lat Pulldown (Cable)",,"Grip a bit wider than shoulder width - later in session cooks me tbh",2,"failure",90,5,,,9.5
"Pull","Apr 28, 2026, 5:02 PM","Apr 28, 2026, 5:53 PM","","Reverse Curl (Barbell)",,"I <3 foot cramps in reverse curls",0,"failure",40,4,,,9
"Pull","Apr 28, 2026, 5:02 PM","Apr 28, 2026, 5:53 PM","","Reverse Curl (Barbell)",,"I <3 foot cramps in reverse curls",1,"failure",35,6,,,9
"Push","Apr 27, 2026, 6:23 AM","Apr 27, 2026, 8:01 AM","","Incline Bench Press (Dumbbell)",,"Substitute cuz machine taken by 3 set sam - decent for a technique diff tbh",0,"warmup",20,6,,,
"Push","Apr 27, 2026, 6:23 AM","Apr 27, 2026, 8:01 AM","","Incline Bench Press (Dumbbell)",,"Substitute cuz machine taken by 3 set sam - decent for a technique diff tbh",1,"warmup",30,4,,,
"Push","Apr 27, 2026, 6:23 AM","Apr 27, 2026, 8:01 AM","","Incline Bench Press (Dumbbell)",,"Substitute cuz machine taken by 3 set sam - decent for a technique diff tbh",2,"failure",40,4,,,9.5
"Push","Apr 27, 2026, 6:23 AM","Apr 27, 2026, 8:01 AM","","Incline Bench Press (Dumbbell)",,"Substitute cuz machine taken by 3 set sam - decent for a technique diff tbh",3,"failure",38,5,,,10
"Push","Apr 27, 2026, 6:23 AM","Apr 27, 2026, 8:01 AM","","JM Press (Barbell)",,"Need to go up just a little bit",0,"warmup",40,6,,,
"Push","Apr 27, 2026, 6:23 AM","Apr 27, 2026, 8:01 AM","","JM Press (Barbell)",,"Need to go up just a little bit",1,"failure",70,6,,,9
"Push","Apr 27, 2026, 6:23 AM","Apr 27, 2026, 8:01 AM","","JM Press (Barbell)",,"Need to go up just a little bit",2,"failure",70,6,,,9.5
"Push","Apr 27, 2026, 6:23 AM","Apr 27, 2026, 8:01 AM","","Shoulder Press (Machine Plates)",,"Sadge 1 down",0,"warmup",40,6,,,
"Push","Apr 27, 2026, 6:23 AM","Apr 27, 2026, 8:01 AM","","Shoulder Press (Machine Plates)",,"Sadge 1 down",1,"warmup",80,4,,,
"Push","Apr 27, 2026, 6:23 AM","Apr 27, 2026, 8:01 AM","","Shoulder Press (Machine Plates)",,"Sadge 1 down",2,"failure",120,3,,,10
"Push","Apr 27, 2026, 6:23 AM","Apr 27, 2026, 8:01 AM","","Shoulder Press (Machine Plates)",,"Sadge 1 down",3,"failure",110,5,,,9.5
"Push","Apr 27, 2026, 6:23 AM","Apr 27, 2026, 8:01 AM","","Bench Press (Barbell)",,"",0,"warmup",20,6,,,
"Push","Apr 27, 2026, 6:23 AM","Apr 27, 2026, 8:01 AM","","Bench Press (Barbell)",,"",1,"warmup",60,4,,,
"Push","Apr 27, 2026, 6:23 AM","Apr 27, 2026, 8:01 AM","","Bench Press (Barbell)",,"",2,"failure",92.5,4,,,10
"Push","Apr 27, 2026, 6:23 AM","Apr 27, 2026, 8:01 AM","","Bench Press (Barbell)",,"",3,"failure",85,5,,,9.5
"Push","Apr 27, 2026, 6:23 AM","Apr 27, 2026, 8:01 AM","","Single Arm Triceps Pushdown (Cable)",,"",0,"failure",20,5,,,9.5
"Push","Apr 27, 2026, 6:23 AM","Apr 27, 2026, 8:01 AM","","Single Arm Triceps Pushdown (Cable)",,"",1,"failure",17.5,8,,,10
"Push","Apr 27, 2026, 6:23 AM","Apr 27, 2026, 8:01 AM","","Lateral Raise (Cable)",,"Idk bro",0,"failure",10,8,,,9.5
"Push","Apr 27, 2026, 6:23 AM","Apr 27, 2026, 8:01 AM","","Lateral Raise (Cable)",,"Idk bro",1,"failure",10,8,,,10
"Lower","Apr 25, 2026, 10:36 AM","Apr 25, 2026, 11:46 AM","","Squat (Barbell)",,"Hips kinda tight - need to warmup proper",0,"warmup",20,4,,,
"Lower","Apr 25, 2026, 10:36 AM","Apr 25, 2026, 11:46 AM","","Squat (Barbell)",,"Hips kinda tight - need to warmup proper",1,"warmup",60,6,,,
"Lower","Apr 25, 2026, 10:36 AM","Apr 25, 2026, 11:46 AM","","Squat (Barbell)",,"Hips kinda tight - need to warmup proper",2,"warmup",80,4,,,
"Lower","Apr 25, 2026, 10:36 AM","Apr 25, 2026, 11:46 AM","","Squat (Barbell)",,"Hips kinda tight - need to warmup proper",3,"failure",100,4,,,
"Lower","Apr 25, 2026, 10:36 AM","Apr 25, 2026, 11:46 AM","","Squat (Barbell)",,"Hips kinda tight - need to warmup proper",4,"failure",90,5,,,
"Lower","Apr 25, 2026, 10:36 AM","Apr 25, 2026, 11:46 AM","","Romanian Deadlift (Barbell)",,"Sldl",0,"warmup",60,6,,,
"Lower","Apr 25, 2026, 10:36 AM","Apr 25, 2026, 11:46 AM","","Romanian Deadlift (Barbell)",,"Sldl",1,"warmup",100,4,,,
"Lower","Apr 25, 2026, 10:36 AM","Apr 25, 2026, 11:46 AM","","Romanian Deadlift (Barbell)",,"Sldl",2,"failure",140,5,,,9
"Lower","Apr 25, 2026, 10:36 AM","Apr 25, 2026, 11:46 AM","","Romanian Deadlift (Barbell)",,"Sldl",3,"failure",130,4,,,8.5
"Lower","Apr 25, 2026, 10:36 AM","Apr 25, 2026, 11:46 AM","","Decline Sit Ups",,"Everything else taken",0,"failure",15,4,,,
"Lower","Apr 25, 2026, 10:36 AM","Apr 25, 2026, 11:46 AM","","Decline Sit Ups",,"Everything else taken",1,"failure",10,6,,,
"Lower","Apr 25, 2026, 10:36 AM","Apr 25, 2026, 11:46 AM","","Standing Calf Raise (Smith)",,"",0,"warmup",40,6,,,
"Lower","Apr 25, 2026, 10:36 AM","Apr 25, 2026, 11:46 AM","","Standing Calf Raise (Smith)",,"",1,"failure",115,8,,,9.5
"Lower","Apr 25, 2026, 10:36 AM","Apr 25, 2026, 11:46 AM","","Standing Calf Raise (Smith)",,"",2,"failure",110,10,,,9.5
"Lower","Apr 25, 2026, 10:36 AM","Apr 25, 2026, 11:46 AM","","Leg Extension (Machine)",,"",0,"normal",62.5,8,,,
"Lower","Apr 25, 2026, 10:36 AM","Apr 25, 2026, 11:46 AM","","Leg Extension (Machine)",,"",1,"normal",62.5,8,,,
"Pull","Apr 24, 2026, 11:28 AM","Apr 24, 2026, 12:30 PM","","Seated Cable Row - Bar Wide Grip",,"Tbar taken :( - row just mid tbh",0,"warmup",50,6,,,
"Pull","Apr 24, 2026, 11:28 AM","Apr 24, 2026, 12:30 PM","","Seated Cable Row - Bar Wide Grip",,"Tbar taken :( - row just mid tbh",1,"warmup",70,6,,,
"Pull","Apr 24, 2026, 11:28 AM","Apr 24, 2026, 12:30 PM","","Seated Cable Row - Bar Wide Grip",,"Tbar taken :( - row just mid tbh",2,"failure",80,5,,,9
"Pull","Apr 24, 2026, 11:28 AM","Apr 24, 2026, 12:30 PM","","Seated Cable Row - Bar Wide Grip",,"Tbar taken :( - row just mid tbh",3,"failure",75,5,,,9
"Pull","Apr 24, 2026, 11:28 AM","Apr 24, 2026, 12:30 PM","","Lat Pulldown (Cable)",,"",0,"warmup",50,6,,,
"Pull","Apr 24, 2026, 11:28 AM","Apr 24, 2026, 12:30 PM","","Lat Pulldown (Cable)",,"",1,"failure",95,5,,,9
"Pull","Apr 24, 2026, 11:28 AM","Apr 24, 2026, 12:30 PM","","Lat Pulldown (Cable)",,"",2,"failure",90,7,,,9.5
"Pull","Apr 24, 2026, 11:28 AM","Apr 24, 2026, 12:30 PM","","Preacher Curl (Barbell)",,"",0,"warmup",18,6,,,
"Pull","Apr 24, 2026, 11:28 AM","Apr 24, 2026, 12:30 PM","","Preacher Curl (Barbell)",,"",1,"failure",40,4,,,9.5
